Sample,Basal.Resp,ATP.linked.Resp,Proton.Leak,Spare.Resp.Cpcty,Maximal.Resp,Non.Mito.Resp
10A-HF | 30-10-2017,32.47783514740741,30.57422657646378,1.9036085709436321,61.72697360120078,94.2048087486082,15.169819712785603
10B-HF | 18-12-2017,22.375888224380606,20.24422875083001,2.1316594735505925,44.57376273808079,66.94965096246139,7.402848887627983
11-HC | 18-09-2017,14.565411745118052,12.610271508461047,1.9551402366570034,18.229130814696205,32.79454255981425,5.650939790661366
11A-HF | 28-11-2017,22.601527622790172,21.726877154873137,0.8746504679170339,50.076593903346094,72.67812152613627,12.908578809708944
11B-HF | 15-01-2018,42.55091381930629,33.313078662707184,9.2378351565991,114.57524567227671,157.126159491583,7.825353265501693
11B_2-DB2 | 14-01-2019,29.842500279348165,30.01604980495219,-0.1735495256040238,88.22335737574865,118.0658576550968,13.576033215905959
12A-HF | 06-12-2017,15.626124156214958,13.51541453633556,2.110709619879397,30.956829993626336,46.58295414984129,2.5429445794084047
12B-HF | 22-01-2018,22.479672730872068,20.06108365738747,2.4185890734845943,50.376111602059645,72.8557843329317,6.291616586438615
13A-HF | 26-02-2018,21.02550791814398,17.556465780386812,3.4690421377571665,36.85379192439949,57.87929984254347,6.916024763600668
13B-HF | 13-04-2018,27.5256433961914,24.652025539980208,2.8736178562111903,40.544496365607564,68.07013976179897,11.18320780249936
14A-HF | 22-01-2018,16.2783455980398,15.84218877054937,0.4361568274904304,43.26520745252295,59.54355305056275,9.06994382184426
14B-HF | 12-03-2018,13.387066137775658,11.921273013192971,1.465793124582687,11.071181375349394,24.458247513125052,4.1738845385764805
15A-HF | 15-01-2018,20.29204726821731,16.344710554055958,3.9473367141613505,63.89552102977502,84.18756829799233,10.06902081632866
17A-HF | 12-03-2018,7.692656519964465,7.993121500719407,-0.300464980754942,14.836272463735453,22.528928983699917,5.979531410079075
17B-HF | 30-04-2018,27.990059219103895,27.25080302878375,0.7392561903201447,67.78045196929419,95.77051118839809,14.510031033481429
18A-HF | 12-02-2018,23.70616230764327,22.171334222746054,1.5348280848972191,56.2472979689187,79.95346027656197,10.531429149538607
18B-HF | 03-04-2018,13.099866190654641,11.066533918675649,2.033332271978993,14.78098896518847,27.88085515584311,3.229199641973774
19A-HF | 19-02-2018,35.58411245853911,32.15577667386576,3.4283357846733473,80.77148620179298,116.35559866033208,11.817213852644496
19B-HF | 09-04-2018,31.236828593960325,28.52564102488983,2.711187569070498,63.787813465291734,95.02464205925206,15.262723897760308
1A-HF | 14-08-2017,2.0819003764089246,-4.668359734392215,6.75026011080114,61.54069361445803,63.62259399086695,16.806588718111108
1B- | 02-10-2017,9.19598012378069,9.006287942657472,0.18969218112321684,2.271659747836587,11.467639871617276,10.984006599273652
22A-HF | 09-04-2018,19.782906074848587,17.568217332707526,2.214688742141062,34.889389445051066,54.672295519899656,9.884974293938733
22B-HF | 28-05-2018,23.740834948511477,21.45135121515205,2.2894837333594236,36.98572935159518,60.72656430010666,12.340301901567344
22Bb-HF | 28-05-2018,24.874790103026758,22.566388614446577,2.3084014885801807,38.696128193046604,63.57091829607336,12.681112835655622
24A-HF | 12-04-2018,11.877941672689976,11.825056629785651,0.052885042904325275,13.64648492049212,25.5244265931821,5.48857322277315
24B-HF | 04-06-2018,44.39292258058503,39.21764980764504,5.175272772939991,77.9876730662415,122.38059564682652,17.82683240603256
25A-HF | 05-03-2018,11.880998813254987,10.875583191855618,1.0054156213993677,12.97661672153515,24.857615534790135,3.52931774045405
25B-HF | 23-04-2018,46.973488517189026,45.45892077675159,1.5145677404374354,89.3668433428252,136.34033186001423,26.041839078142516
26A-HF | 23-04-2018,34.46247181503575,32.96035311735909,1.5021186976766572,54.83008969422514,89.29256150926088,19.5328571286935
26B-HF | 11-06-2018,31.82116790335983,28.2330384917632,3.588129411596631,41.97948350953911,73.80065141289894,11.454456537957972
27A-HF | 30-04-2018,56.246890109243196,51.664985485666485,4.581904623576708,98.28877516571788,154.53566527496108,23.063591100701533
27B-HF | 18-06-2018,39.41268179809085,37.24570550195127,2.1669762961395804,56.11905969235688,95.53174149044773,20.9802229959151
27Bb-HF | 18-06-2018,39.04799213668183,36.35674303640411,2.691249100277716,53.20250350141815,92.25049563809998,21.508046097091352
29A-HF | 08-05-2018,25.487924867317684,22.405382115106608,3.0825427522110758,52.146434096467004,77.63435896378469,13.293293675602701
2B_2-DB2 | 12-02-2018,30.965996339059828,29.773799978152397,1.192196360907431,85.94038914731422,116.90638548637405,16.912552512564574
31A-HF | 13-08-2018,65.23125560940065,57.93903630733484,7.2922193020658135,185.85398950147956,251.0852451108802,21.19280332516652
31B-HF | 01-10-2018,39.01655547243712,37.163957083545924,1.8525983888911988,109.29411541457347,148.3106708870106,19.807862184928126
32A-HF | 15-05-2018,26.286060502209228,22.79134381506975,3.4947166871394764,47.673728839792034,73.95978934200126,14.105188713277794
32Ab-HF | 15-05-2018,23.18005400683913,20.717199601905293,2.462854404933836,41.50586268083505,64.68591668767418,13.96503161903037
32B-HF | 29-06-2018,31.473074121597218,29.91866961091416,1.5544045106830566,52.11160049902615,83.58467462062337,14.08275853504188
33A-HF | 20-08-2018,22.57603001546772,19.830665345336058,2.7453646701316625,50.54471362756848,73.12074364303619,10.434144678140296
33B-HF | 08-10-2018,8.236065280654586,7.204043129017531,1.0320221516370545,-3.911181776063051,4.324883504591535,5.511774766425985
34B-HF | 14-11-2018,33.77991886636347,34.136411314921396,-0.3564924485579297,67.238073727054,101.01799259341747,18.017082379592466
