Sample,variable,value
22B-HF | 28-05-2018,Max.Glyco.Cpcty,25.307312841832626
22Bb-HF | 28-05-2018,Max.Glyco.Cpcty,27.22947299891074
24A-HF | 12-04-2018,Max.Glyco.Cpcty,17.263540104942372
24B-HF | 04-06-2018,Max.Glyco.Cpcty,47.057009624108275
25A-HF | 05-03-2018,Max.Glyco.Cpcty,9.936540700120068
25B-HF | 23-04-2018,Max.Glyco.Cpcty,42.06757426970867
26A-HF | 23-04-2018,Max.Glyco.Cpcty,28.853769001178932
26B-HF | 11-06-2018,Max.Glyco.Cpcty,28.246786074916095
27A-HF | 30-04-2018,Max.Glyco.Cpcty,42.16889908817521
27B-HF | 18-06-2018,Max.Glyco.Cpcty,45.83040186126999
27Bb-HF | 18-06-2018,Max.Glyco.Cpcty,43.36235128389162
29A-HF | 08-05-2018,Max.Glyco.Cpcty,25.278129934915775
2B_2-DB2 | 12-02-2018,Max.Glyco.Cpcty,32.32529160606689
31A-HF | 13-08-2018,Max.Glyco.Cpcty,54.20322002063356
31Bt-HF | 01-10-2018,Max.Glyco.Cpcty,29.833041938307232
32A-HF | 15-05-2018,Max.Glyco.Cpcty,30.040709750622263
32Ab- | 15-05-2018,Max.Glyco.Cpcty,30.40153277941976
32B-HF | 29-06-2018,Max.Glyco.Cpcty,31.268182842512935
33A-HF | 20-08-2018,Max.Glyco.Cpcty,24.68423054512862
33B-HF | 08-10-2018,Max.Glyco.Cpcty,10.686997938013015
34B-HF | 14-11-2018,Max.Glyco.Cpcty,35.49766820725083
36A-HF | 27-08-2018,Max.Glyco.Cpcty,26.17026887542145
36B-HF | 15-10-2018,Max.Glyco.Cpcty,20.401811530405293
39 post-ConBis  | 23-11-2018,Max.Glyco.Cpcty,35.12632115818919
39A-HF | 15-10-2018,Max.Glyco.Cpcty,32.99376294888775
3A-HF | 28-08-2017,Max.Glyco.Cpcty,34.39310114960168
3Ab-HF | 28-08-2017,Max.Glyco.Cpcty,34.17201672264663
4 post-Conbis  | 13-11-2017,Max.Glyco.Cpcty,48.41967603701752
40A-HF | 07-01-2019,Max.Glyco.Cpcty,25.258784925396704
40B-HF | 25-02-2019,Max.Glyco.Cpcty,32.83136940275076
42B-HF | 19-11-2018,Max.Glyco.Cpcty,18.988311308185253
43A-HF | 15-10-2018,Max.Glyco.Cpcty,28.16033384895296
43B-HF | 05-12-2018,Max.Glyco.Cpcty,26.79055951129947
44A-HF | 29-10-2018,Max.Glyco.Cpcty,28.549004284489026
46A-HF | 19-11-2018,Max.Glyco.Cpcty,23.574944335547656
46B-HF | 07-01-2019,Max.Glyco.Cpcty,42.28175145766701
48 post-ConBis  | 21-12-2018,Max.Glyco.Cpcty,32.82256939215411
48 pre- | 05-11-2018,Max.Glyco.Cpcty,36.86798401399584
49A-HF | 05-12-2018,Max.Glyco.Cpcty,19.210737863658682
49B-HF | 22-01-2019,Max.Glyco.Cpcty,23.6603954829559
4A-HF | 25-09-2017,Max.Glyco.Cpcty,13.9646065347514
4Ab-HF | 25-09-2017,Max.Glyco.Cpcty,12.654081129327658
50B-HF | 14-01-2019,Max.Glyco.Cpcty,34.61804135924254
53 post-ConBis   | 20-02-2019,Max.Glyco.Cpcty,30.69845396708674
53A-HF | 02-01-2019,Max.Glyco.Cpcty,32.33872030461171
55A-HF | 21-01-2019,Max.Glyco.Cpcty,37.475533496325966
55B-HF | 25-02-2019,Max.Glyco.Cpcty,53.60794053084735
5A-HF | 18-09-2017,Max.Glyco.Cpcty,40.99773552692269
5B-HF | 06-11-2017,Max.Glyco.Cpcty,32.24223351331932
7A-CHF | 23-11-2017,Max.Glyco.Cpcty,17.76745200696103
8A-HF | 23-10-2017,Max.Glyco.Cpcty,43.703635261915984
8B-HF | 11-12-2017,Max.Glyco.Cpcty,26.93980475612799
9A_2-DB2 | 13-08-2018,Max.Glyco.Cpcty,42.99289970395182
Glycolysis-CONBIS-29POST-29POST | 25-06-2018,Max.Glyco.Cpcty,45.89350782791651
Glycolysis-DB-26-26 | 06-12-2017,Max.Glyco.Cpcty,16.23383260861838
Glycolysis-DB-26-26 | 19-02-2018,Max.Glyco.Cpcty,45.66188165970577
X-HC | 23-10-2017,Max.Glyco.Cpcty,44.35630669424943
10A-HF | 30-10-2017,Glyco.Rsrv.Cpcty,26.81656025334535
10B-HF | 18-12-2017,Glyco.Rsrv.Cpcty,10.556771813430734
11-HC | 18-09-2017,Glyco.Rsrv.Cpcty,3.7933860718640044
11A-HF | 28-11-2017,Glyco.Rsrv.Cpcty,11.507565106737886
11B-HF | 15-01-2018,Glyco.Rsrv.Cpcty,24.36328189723737
11B_2-DB2 | 14-01-2019,Glyco.Rsrv.Cpcty,16.129105732917196
12B-HF | 22-01-2018,Glyco.Rsrv.Cpcty,11.643198363369041
13A-HF | 26-02-2018,Glyco.Rsrv.Cpcty,9.410993542132125
13B-HF | 13-04-2018,Glyco.Rsrv.Cpcty,13.35308344238371
14A-HF | 22-01-2018,Glyco.Rsrv.Cpcty,12.090844987662642
14B-HF | 12-03-2018,Glyco.Rsrv.Cpcty,9.535591809841932
15A-HF | 15-01-2018,Glyco.Rsrv.Cpcty,14.825677652854758
17A-HF | 12-03-2018,Glyco.Rsrv.Cpcty,4.039141376404844
17B-HF | 30-04-2018,Glyco.Rsrv.Cpcty,13.258043246537603
18A-HF | 12-02-2018,Glyco.Rsrv.Cpcty,18.534629829112152
18B-HF | 03-04-2018,Glyco.Rsrv.Cpcty,4.889747498483402
19B-HF | 09-04-2018,Glyco.Rsrv.Cpcty,20.622500979845576
1A-HF | 14-08-2017,Glyco.Rsrv.Cpcty,17.706295657774632
1B- | 02-10-2017,Glyco.Rsrv.Cpcty,4.0351789393593265
22A-HF | 09-04-2018,Glyco.Rsrv.Cpcty,9.985489097894977
22B-HF | 28-05-2018,Glyco.Rsrv.Cpcty,13.749433964820412
22Bb-HF | 28-05-2018,Glyco.Rsrv.Cpcty,14.913580391449699
24A-HF | 12-04-2018,Glyco.Rsrv.Cpcty,6.571141180499932
24B-HF | 04-06-2018,Glyco.Rsrv.Cpcty,25.157631030044172
25A-HF | 05-03-2018,Glyco.Rsrv.Cpcty,5.896608003006138
25B-HF | 23-04-2018,Glyco.Rsrv.Cpcty,34.10040978371923
26A-HF | 23-04-2018,Glyco.Rsrv.Cpcty,27.98942155834854
26B-HF | 11-06-2018,Glyco.Rsrv.Cpcty,14.40642067456919
27A-HF | 30-04-2018,Glyco.Rsrv.Cpcty,38.21605334547263
27B-HF | 18-06-2018,Glyco.Rsrv.Cpcty,36.581323204013046
27Bb-HF | 18-06-2018,Glyco.Rsrv.Cpcty,34.58019334112818
29A-HF | 08-05-2018,Glyco.Rsrv.Cpcty,3.0050647836687148
