Sample,variable,value
32Ab-HF | 15-05-2018,Non.Mito.Resp,13.96503161903037
32B-HF | 29-06-2018,Non.Mito.Resp,14.08275853504188
33A-HF | 20-08-2018,Non.Mito.Resp,10.434144678140296
33B-HF | 08-10-2018,Non.Mito.Resp,5.511774766425985
34B-HF | 14-11-2018,Non.Mito.Resp,18.017082379592466
36A-HF | 27-08-2018,Non.Mito.Resp,12.81718397674449
36B-HF | 15-10-2018,Non.Mito.Resp,14.306355554449576
39 post-ConBis  | 23-11-2018,Non.Mito.Resp,11.68279450953342
39A-HF | 15-10-2018,Non.Mito.Resp,13.439492524303649
3A-HF | 28-08-2017,Non.Mito.Resp,14.587127432222537
3Ab-HF | 28-08-2017,Non.Mito.Resp,14.400878011465199
40A-HF | 07-01-2019,Non.Mito.Resp,9.381146452123687
40B-HF | 25-02-2019,Non.Mito.Resp,25.01574567361205
42B-HF | 19-11-2018,Non.Mito.Resp,5.625251409018846
43A-HF | 15-10-2018,Non.Mito.Resp,12.517629950857884
43B-HF | 05-12-2018,Non.Mito.Resp,16.534656135306175
44A-HF | 29-10-2018,Non.Mito.Resp,11.304682109857765
46A-HF | 19-11-2018,Non.Mito.Resp,5.923937567860962
46B-HF | 07-01-2019,Non.Mito.Resp,10.971552155881287
48 pre- | 05-11-2018,Non.Mito.Resp,13.368363283344673
48B-HF | 21-12-2018,Non.Mito.Resp,6.781929146761556
49A-HF | 05-12-2018,Non.Mito.Resp,16.379497255676366
49B-HF | 22-01-2019,Non.Mito.Resp,10.87436601958263
4A-HF | 25-09-2017,Non.Mito.Resp,14.200813708623393
4Ab-HF | 25-09-2017,Non.Mito.Resp,11.594289020450557
4B-HF | 13-11-2017,Non.Mito.Resp,16.364386138736485
50A-HF | 26-11-2018,Non.Mito.Resp,11.431623138221289
50B-HF | 14-01-2019,Non.Mito.Resp,11.628986731103279
53 post-ConBis   | 20-02-2019,Non.Mito.Resp,10.9952851282322
53A-HF | 02-01-2019,Non.Mito.Resp,11.903314103524874
55A-HF | 21-01-2019,Non.Mito.Resp,7.1701844094689164
55B-HF | 25-02-2019,Non.Mito.Resp,31.11219387160976
5A-HF | 18-09-2017,Non.Mito.Resp,15.465057334748911
5B-HF | 06-11-2017,Non.Mito.Resp,12.20470954429849
7A-HF | 23-11-2017,Non.Mito.Resp,6.935397055217385
8A-HF | 23-10-2017,Non.Mito.Resp,14.046451262653807
8B-HF | 11-12-2017,Non.Mito.Resp,13.701268935634864
9A_2-DB2 | 13-08-2018,Non.Mito.Resp,13.111471484757482
X-HC | 23-10-2017,Non.Mito.Resp,13.72884974455015
Y-HC | 28-11-2017,Non.Mito.Resp,12.53158641516837
