Sample,variable,value
24A-HF | 12-04-2018,ATP.linked.Resp,11.825056629785651
24B-HF | 04-06-2018,ATP.linked.Resp,39.21764980764504
25A-HF | 05-03-2018,ATP.linked.Resp,10.875583191855618
25B-HF | 23-04-2018,ATP.linked.Resp,45.45892077675159
26A-HF | 23-04-2018,ATP.linked.Resp,32.96035311735909
26B-HF | 11-06-2018,ATP.linked.Resp,28.2330384917632
27A-HF | 30-04-2018,ATP.linked.Resp,51.664985485666485
27B-HF | 18-06-2018,ATP.linked.Resp,37.24570550195127
27Bb-HF | 18-06-2018,ATP.linked.Resp,36.35674303640411
29A-HF | 08-05-2018,ATP.linked.Resp,22.405382115106608
2B_2-DB2 | 12-02-2018,ATP.linked.Resp,29.773799978152397
31A-HF | 13-08-2018,ATP.linked.Resp,57.93903630733484
31B-HF | 01-10-2018,ATP.linked.Resp,37.163957083545924
32A-HF | 15-05-2018,ATP.linked.Resp,22.79134381506975
32Ab-HF | 15-05-2018,ATP.linked.Resp,20.717199601905293
32B-HF | 29-06-2018,ATP.linked.Resp,29.91866961091416
33A-HF | 20-08-2018,ATP.linked.Resp,19.830665345336058
33B-HF | 08-10-2018,ATP.linked.Resp,7.204043129017531
34B-HF | 14-11-2018,ATP.linked.Resp,34.136411314921396
36A-HF | 27-08-2018,ATP.linked.Resp,22.09544973503247
36B-HF | 15-10-2018,ATP.linked.Resp,22.441810825661495
39 post-ConBis  | 23-11-2018,ATP.linked.Resp,23.93696163893612
39A-HF | 15-10-2018,ATP.linked.Resp,26.93190568158151
3A-HF | 28-08-2017,ATP.linked.Resp,22.230952325124953
3Ab-HF | 28-08-2017,ATP.linked.Resp,21.97958097275227
40A-HF | 07-01-2019,ATP.linked.Resp,29.922423477643786
40B-HF | 25-02-2019,ATP.linked.Resp,45.168348250734766
42B-HF | 19-11-2018,ATP.linked.Resp,16.401125264926367
43A-HF | 15-10-2018,ATP.linked.Resp,19.976268225412547
43B-HF | 05-12-2018,ATP.linked.Resp,29.862693581899585
44A-HF | 29-10-2018,ATP.linked.Resp,23.20306597666831
46A-HF | 19-11-2018,ATP.linked.Resp,22.67304970308365
46B-HF | 07-01-2019,ATP.linked.Resp,36.02013047790899
48 pre- | 05-11-2018,ATP.linked.Resp,24.77689949228133
