Sample,variable,value
12A-HF | 06-12-2017,log.Non.Mito.Resp,0.933117760265632
12B-HF | 22-01-2018,log.Non.Mito.Resp,1.8392180466639536
13A-HF | 26-02-2018,log.Non.Mito.Resp,1.9338409656155493
13B-HF | 13-04-2018,log.Non.Mito.Resp,2.4143487045842447
14A-HF | 22-01-2018,log.Non.Mito.Resp,2.204966070264893
14B-HF | 12-03-2018,log.Non.Mito.Resp,1.428847146215982
15A-HF | 15-01-2018,log.Non.Mito.Resp,2.3094634642993674
17A-HF | 12-03-2018,log.Non.Mito.Resp,1.7883301566907572
17B-HF | 30-04-2018,log.Non.Mito.Resp,2.6748402056588976
18A-HF | 12-02-2018,log.Non.Mito.Resp,2.3543640386400986
18B-HF | 03-04-2018,log.Non.Mito.Resp,1.1721314221913872
19A-HF | 19-02-2018,log.Non.Mito.Resp,2.469554805827313
19B-HF | 09-04-2018,log.Non.Mito.Resp,2.725413509125148
1A-HF | 14-08-2017,log.Non.Mito.Resp,2.8217668660323016
1B- | 02-10-2017,log.Non.Mito.Resp,2.39644026927336
22A-HF | 09-04-2018,log.Non.Mito.Resp,2.291015554463636
22B-HF | 28-05-2018,log.Non.Mito.Resp,2.512870483458956
22Bb-HF | 28-05-2018,log.Non.Mito.Resp,2.5401137082224508
24A-HF | 12-04-2018,log.Non.Mito.Resp,1.7026085362716197
24B-HF | 04-06-2018,log.Non.Mito.Resp,2.880703140211049
25A-HF | 05-03-2018,log.Non.Mito.Resp,1.261095529969177
25B-HF | 23-04-2018,log.Non.Mito.Resp,3.2597044399672126
26A-HF | 23-04-2018,log.Non.Mito.Resp,2.972083188345152
26B-HF | 11-06-2018,log.Non.Mito.Resp,2.438378126635195
27A-HF | 30-04-2018,log.Non.Mito.Resp,3.138255231281159
27B-HF | 18-06-2018,log.Non.Mito.Resp,3.043580231887598
27Bb-HF | 18-06-2018,log.Non.Mito.Resp,3.068425572249394
29A-HF | 08-05-2018,log.Non.Mito.Resp,2.5872596490393134
2B_2-DB2 | 12-02-2018,log.Non.Mito.Resp,2.828056098447863
31A-HF | 13-08-2018,log.Non.Mito.Resp,3.053661658252379
31B-HF | 01-10-2018,log.Non.Mito.Resp,2.986078938931946
32A-HF | 15-05-2018,log.Non.Mito.Resp,2.6465427235404815
32Ab-HF | 15-05-2018,log.Non.Mito.Resp,2.6364584663254425
32B-HF | 29-06-2018,log.Non.Mito.Resp,2.644910040414234
33A-HF | 20-08-2018,log.Non.Mito.Resp,2.3450835705324655
33B-HF | 08-10-2018,log.Non.Mito.Resp,1.7068866704718921
34B-HF | 14-11-2018,log.Non.Mito.Resp,2.891294313235858
36A-HF | 27-08-2018,log.Non.Mito.Resp,2.5507867687637664
36B-HF | 15-10-2018,log.Non.Mito.Resp,2.6607038828968212
39 post-ConBis  | 23-11-2018,log.Non.Mito.Resp,2.457997684464516
39A-HF | 15-10-2018,log.Non.Mito.Resp,2.598144156247513
3A-HF | 28-08-2017,log.Non.Mito.Resp,2.6801394570789796
3Ab-HF | 28-08-2017,log.Non.Mito.Resp,2.6672706356421507
40A-HF | 07-01-2019,log.Non.Mito.Resp,2.2387019785904108
40B-HF | 25-02-2019,log.Non.Mito.Resp,3.2195042017731255
42B-HF | 19-11-2018,log.Non.Mito.Resp,1.7272656420283787
43A-HF | 15-10-2018,log.Non.Mito.Resp,2.5270682369176285
43B-HF | 05-12-2018,log.Non.Mito.Resp,2.805458179892907
44A-HF | 29-10-2018,log.Non.Mito.Resp,2.425215415237334
46A-HF | 19-11-2018,log.Non.Mito.Resp,1.7783554904079057
46B-HF | 07-01-2019,log.Non.Mito.Resp,2.395305755242802
48 pre- | 05-11-2018,log.Non.Mito.Resp,2.5928536316932025
48B-HF | 21-12-2018,log.Non.Mito.Resp,1.914261596400504
49A-HF | 05-12-2018,log.Non.Mito.Resp,2.796030385382246
49B-HF | 22-01-2019,log.Non.Mito.Resp,2.386408278225536
4A-HF | 25-09-2017,log.Non.Mito.Resp,2.653293194242311
4Ab-HF | 25-09-2017,log.Non.Mito.Resp,2.450497371237891
4B-HF | 13-11-2017,log.Non.Mito.Resp,2.7951073966316065
50A-HF | 26-11-2018,log.Non.Mito.Resp,2.4363834745682094
50B-HF | 14-01-2019,log.Non.Mito.Resp,2.453500819893696
53 post-ConBis   | 20-02-2019,log.Non.Mito.Resp,2.3974651068677435
53A-HF | 02-01-2019,log.Non.Mito.Resp,2.4768127596957727
55A-HF | 21-01-2019,log.Non.Mito.Resp,1.9698609623526155
55B-HF | 25-02-2019,log.Non.Mito.Resp,3.4375998282434472
5A-HF | 18-09-2017,log.Non.Mito.Resp,2.73858311351774
5B-HF | 06-11-2017,log.Non.Mito.Resp,2.501821905470674
7A-HF | 23-11-2017,log.Non.Mito.Resp,1.9366383059443517
8A-HF | 23-10-2017,log.Non.Mito.Resp,2.6423697847057164
8B-HF | 11-12-2017,log.Non.Mito.Resp,2.6174878724372803
9A_2-DB2 | 13-08-2018,log.Non.Mito.Resp,2.5734875328772793
X-HC | 23-10-2017,log.Non.Mito.Resp,2.619485245242881
Y-HC | 28-11-2017,log.Non.Mito.Resp,2.5282248763455586
