Sample,variable,value
18B-HF | 03-04-2018,log.ATP.linked.Resp,1.1323344363515626
19A-HF | 19-02-2018,log.ATP.linked.Resp,1.1343973777597522
19B-HF | 09-04-2018,log.ATP.linked.Resp,0.950521345113176
1A-HF | 14-08-2017,log.ATP.linked.Resp,-0.22086020860275601
1B- | 02-10-2017,log.ATP.linked.Resp,0.5911288039525084
22A-HF | 09-04-2018,log.ATP.linked.Resp,0.896906368188505
22B-HF | 28-05-2018,log.ATP.linked.Resp,0.9027105580461439
22Bb-HF | 28-05-2018,log.ATP.linked.Resp,0.9184835019208211
24A-HF | 12-04-2018,log.ATP.linked.Resp,1.142290972235541
24B-HF | 04-06-2018,log.ATP.linked.Resp,0.9950865707544381
25A-HF | 05-03-2018,log.ATP.linked.Resp,1.2234564999406232
25B-HF | 23-04-2018,log.ATP.linked.Resp,0.9744342495184934
26A-HF | 23-04-2018,log.ATP.linked.Resp,0.9427097131850566
26B-HF | 11-06-2018,log.ATP.linked.Resp,1.0568158700541201
27A-HF | 30-04-2018,log.ATP.linked.Resp,1.0539075624701129
27B-HF | 18-06-2018,log.ATP.linked.Resp,0.9589978259878964
27Bb-HF | 18-06-2018,log.ATP.linked.Resp,0.9172457163538761
29A-HF | 08-05-2018,log.ATP.linked.Resp,0.8621292114851489
2B_2-DB2 | 12-02-2018,log.ATP.linked.Resp,0.9724985573042653
31A-HF | 13-08-2018,log.ATP.linked.Resp,1.1098876695510422
31B-HF | 01-10-2018,log.ATP.linked.Resp,0.9990622034912087
32A-HF | 15-05-2018,log.ATP.linked.Resp,0.830720684509715
32Ab-HF | 15-05-2018,log.ATP.linked.Resp,0.8158511909865647
32B-HF | 29-06-2018,log.ATP.linked.Resp,1.0693052615957788
33A-HF | 20-08-2018,log.ATP.linked.Resp,0.9181525366016849
33B-HF | 08-10-2018,log.ATP.linked.Resp,0.7423641587724219
34B-HF | 14-11-2018,log.ATP.linked.Resp,1.0759966570387518
36A-HF | 27-08-2018,log.ATP.linked.Resp,0.9073152803530431
36B-HF | 15-10-2018,log.ATP.linked.Resp,0.8709374455681598
39 post-ConBis  | 23-11-2018,log.ATP.linked.Resp,1.0576979619831528
39A-HF | 15-10-2018,log.ATP.linked.Resp,1.2486170929433942
3A-HF | 28-08-2017,log.ATP.linked.Resp,0.9135254113754554
3Ab-HF | 28-08-2017,log.ATP.linked.Resp,0.8435719347953667
40A-HF | 07-01-2019,log.ATP.linked.Resp,1.2284858515922612
40B-HF | 25-02-2019,log.ATP.linked.Resp,0.9590768790643436
42B-HF | 19-11-2018,log.ATP.linked.Resp,1.6059054311299712
43A-HF | 15-10-2018,log.ATP.linked.Resp,0.8309355615505516
43B-HF | 05-12-2018,log.ATP.linked.Resp,0.9929965020062275
44A-HF | 29-10-2018,log.ATP.linked.Resp,1.0217908169259338
46A-HF | 19-11-2018,log.ATP.linked.Resp,1.2856660163437792
46B-HF | 07-01-2019,log.ATP.linked.Resp,1.2112515041165652
48 pre- | 05-11-2018,log.ATP.linked.Resp,1.042405972354806
48B-HF | 21-12-2018,log.ATP.linked.Resp,1.290433278592515
49A-HF | 05-12-2018,log.ATP.linked.Resp,0.7922148113133729
49B-HF | 22-01-2019,log.ATP.linked.Resp,1.0515539172091946
4A-HF | 25-09-2017,log.ATP.linked.Resp,0.47244213533178403
4Ab-HF | 25-09-2017,log.ATP.linked.Resp,0.2684441956048276
4B-HF | 13-11-2017,log.ATP.linked.Resp,0.9280411365915437
50A-HF | 26-11-2018,log.ATP.linked.Resp,1.1062323784510837
50B-HF | 14-01-2019,log.ATP.linked.Resp,1.1636720527861786
53 post-ConBis   | 20-02-2019,log.ATP.linked.Resp,1.0137444959559723
53A-HF | 02-01-2019,log.ATP.linked.Resp,0.9899231404604638
55A-HF | 21-01-2019,log.ATP.linked.Resp,1.0648720000818557
55B-HF | 25-02-2019,log.ATP.linked.Resp,0.8814205005929634
5A-HF | 18-09-2017,log.ATP.linked.Resp,0.9685318337939761
5B-HF | 06-11-2017,log.ATP.linked.Resp,0.9601857204460411
7A-HF | 23-11-2017,log.ATP.linked.Resp,0.9537233139947658
8A-HF | 23-10-2017,log.ATP.linked.Resp,0.006823581198855955
8B-HF | 11-12-2017,log.ATP.linked.Resp,1.0152810501105787
9A_2-DB2 | 13-08-2018,log.ATP.linked.Resp,1.0773252436261687
X-HC | 23-10-2017,log.ATP.linked.Resp,-0.023475966478740506
Y-HC | 28-11-2017,log.ATP.linked.Resp,0.810018408613431
10A-HF | 30-10-2017,log.Proton.Leak,0.11820791693774746
10B-HF | 18-12-2017,log.Proton.Leak,0.25305538308245223
11-HC | 18-09-2017,log.Proton.Leak,0.29713350088458435
11A-HF | 28-11-2017,log.Proton.Leak,0.06556088474342792
11B-HF | 15-01-2018,log.Proton.Leak,0.7795415566811554
11B_2-DB2 | 14-01-2019,log.Proton.Leak,-0.012865934788395261
12A-HF | 06-12-2017,log.Proton.Leak,0.6045106574790058
12B-HF | 22-01-2018,log.Proton.Leak,0.3252773558531825
13A-HF | 26-02-2018,log.Proton.Leak,0.4065278509953254
13B-HF | 13-04-2018,log.Proton.Leak,0.22875938523493033
14A-HF | 22-01-2018,log.Proton.Leak,0.04696769585053673
14B-HF | 12-03-2018,log.Proton.Leak,0.30097976573861884
15A-HF | 15-01-2018,log.Proton.Leak,0.3307615783086244
17A-HF | 12-03-2018,log.Proton.Leak,-0.05162663238893761
17B-HF | 30-04-2018,log.Proton.Leak,0.04969255687935448
18A-HF | 12-02-2018,log.Proton.Leak,0.13604886009999317
18B-HF | 03-04-2018,log.Proton.Leak,0.488480841207801
19A-HF | 19-02-2018,log.Proton.Leak,0.25469801496334554
19B-HF | 09-04-2018,log.Proton.Leak,0.1635078344747125
1A-HF | 14-08-2017,log.Proton.Leak,0.337646036476269
1B- | 02-10-2017,log.Proton.Leak,0.017122283773428393
22A-HF | 09-04-2018,log.Proton.Leak,0.2021430214040394
22B-HF | 28-05-2018,log.Proton.Leak,0.17018907903420244
22Bb-HF | 28-05-2018,log.Proton.Leak,0.16723335780732018
24A-HF | 12-04-2018,log.Proton.Leak,0.0096444123210917
24B-HF | 04-06-2018,log.Proton.Leak,0.2548826010500753
25A-HF | 05-03-2018,log.Proton.Leak,0.250485161307866
25B-HF | 23-04-2018,log.Proton.Leak,0.056530620994139635
26A-HF | 23-04-2018,log.Proton.Leak,0.07410301277952813
26B-HF | 11-06-2018,log.Proton.Leak,0.27239503664460063
27A-HF | 30-04-2018,log.Proton.Leak,0.18120749778166756
27B-HF | 18-06-2018,log.Proton.Leak,0.09829356042109971
27Bb-HF | 18-06-2018,log.Proton.Leak,0.11789789952493912
29A-HF | 08-05-2018,log.Proton.Leak,0.20854721073863258
2B_2-DB2 | 12-02-2018,log.Proton.Leak,0.06811291645045214
31A-HF | 13-08-2018,log.Proton.Leak,0.2957167690357232
31B-HF | 01-10-2018,log.Proton.Leak,0.08940956621073326
32A-HF | 15-05-2018,log.Proton.Leak,0.22134974987791134
32Ab-HF | 15-05-2018,log.Proton.Leak,0.16252179183173965
32B-HF | 29-06-2018,log.Proton.Leak,0.1047233630403337
33A-HF | 20-08-2018,log.Proton.Leak,0.233579730858966
33B-HF | 08-10-2018,log.Proton.Leak,0.17163089504368556
34B-HF | 14-11-2018,log.Proton.Leak,-0.01995871368963309
36A-HF | 27-08-2018,log.Proton.Leak,0.15412394946210517
36B-HF | 15-10-2018,log.Proton.Leak,0.12153020026279426
39 post-ConBis  | 23-11-2018,log.Proton.Leak,0.08629555636883435
39A-HF | 15-10-2018,log.Proton.Leak,-0.21531172370608198
3A-HF | 28-08-2017,log.Proton.Leak,0.020500433622503422
3Ab-HF | 28-08-2017,log.Proton.Leak,0.14169068524738382
40A-HF | 07-01-2019,log.Proton.Leak,0.2777707427317315
40B-HF | 25-02-2019,log.Proton.Leak,0.11510849993079253
42B-HF | 19-11-2018,log.Proton.Leak,-0.3117925021233965
43A-HF | 15-10-2018,log.Proton.Leak,0.20860846001033018
43B-HF | 05-12-2018,log.Proton.Leak,0.06092589602405862
44A-HF | 29-10-2018,log.Proton.Leak,0.14348869822275612
46A-HF | 19-11-2018,log.Proton.Leak,0.3807637555284167
46B-HF | 07-01-2019,log.Proton.Leak,0.33109410135201367
48 pre- | 05-11-2018,log.Proton.Leak,0.00945130446511655
48B-HF | 21-12-2018,log.Proton.Leak,0.17942732749050117
49A-HF | 05-12-2018,log.Proton.Leak,0.1723711956311802
49B-HF | 22-01-2019,log.Proton.Leak,0.0674737770285474
4A-HF | 25-09-2017,log.Proton.Leak,0.518904875008297
4Ab-HF | 25-09-2017,log.Proton.Leak,0.8738440191507917
4B-HF | 13-11-2017,log.Proton.Leak,0.2885671784562218
50A-HF | 26-11-2018,log.Proton.Leak,-0.03634668151553466
50B-HF | 14-01-2019,log.Proton.Leak,0.16932172740713813
53 post-ConBis   | 20-02-2019,log.Proton.Leak,0.11467336533828387
53A-HF | 02-01-2019,log.Proton.Leak,0.05793101284936286
55A-HF | 21-01-2019,log.Proton.Leak,0.5479200249129108
55B-HF | 25-02-2019,log.Proton.Leak,0.10931352304294961
5A-HF | 18-09-2017,log.Proton.Leak,0.2424453292815718
5B-HF | 06-11-2017,log.Proton.Leak,0.23256012416936311
7A-HF | 23-11-2017,log.Proton.Leak,0.272493345524101
8A-HF | 23-10-2017,log.Proton.Leak,0.010688985236974258
8B-HF | 11-12-2017,log.Proton.Leak,0.23050663415346406
9A_2-DB2 | 13-08-2018,log.Proton.Leak,0.22498931424605217
X-HC | 23-10-2017,log.Proton.Leak,-0.03827020151462035
Y-HC | 28-11-2017,log.Proton.Leak,0.41155867206090857
10A-HF | 30-10-2017,log.Spare.Resp.Cpcty,0.8309454190108014
10B-HF | 18-12-2017,log.Spare.Resp.Cpcty,0.9150226759687161
11-HC | 18-09-2017,log.Spare.Resp.Cpcty,0.6427501752174103
11A-HF | 28-11-2017,log.Spare.Resp.Cpcty,0.8797126508576127
11B-HF | 15-01-2018,log.Spare.Resp.Cpcty,1.186104972645618
11B_2-DB2 | 14-01-2019,log.Spare.Resp.Cpcty,1.1091988990345962
12A-HF | 06-12-2017,log.Spare.Resp.Cpcty,0.994666597549787
12B-HF | 22-01-2018,log.Spare.Resp.Cpcty,1.0119033917710043
13A-HF | 26-02-2018,log.Spare.Resp.Cpcty,0.84111921575869
13B-HF | 13-04-2018,log.Spare.Resp.Cpcty,0.7165813653949162
14A-HF | 22-01-2018,log.Spare.Resp.Cpcty,0.9957610260420884
14B-HF | 12-03-2018,log.Spare.Resp.Cpcty,0.488848085840369
15A-HF | 15-01-2018,log.Spare.Resp.Cpcty,1.1328596023527373
17A-HF | 12-03-2018,log.Spare.Resp.Cpcty,0.7348361293206049
17B-HF | 30-04-2018,log.Spare.Resp.Cpcty,0.9535213420126287
18A-HF | 12-02-2018,log.Spare.Resp.Cpcty,0.9718586632546078
18B-HF | 03-04-2018,log.Spare.Resp.Cpcty,0.6445843725785512
19A-HF | 19-02-2018,log.Spare.Resp.Cpcty,0.9947292166004305
19B-HF | 09-04-2018,log.Spare.Resp.Cpcty,0.8636466871881141
1A-HF | 14-08-2017,log.Spare.Resp.Cpcty,1.4488139973205727
1B- | 02-10-2017,log.Spare.Resp.Cpcty,0.10667232144327476
22A-HF | 09-04-2018,log.Spare.Resp.Cpcty,0.7774877898824055
22B-HF | 28-05-2018,log.Spare.Resp.Cpcty,0.7056045552783106
