Sample,variable,value
1A_1y-DB2 | 09-10-2017,log.ATP.linked.Resp,0.9870289322357486
1A_2x-DB2 | 03-11-2017,log.ATP.linked.Resp,1.137366167912376
1A_2y-DB2 | 03-11-2017,log.ATP.linked.Resp,0.6171031698099476
1A_3x-DB2 | 14-11-2017,log.ATP.linked.Resp,1.1243700241010126
1A_3y-DB2 | 14-11-2017,log.ATP.linked.Resp,0.9895313364386826
1A_4x-DB2 | 07-12-2017,log.ATP.linked.Resp,1.261524172863223
1A_4y-DB2 | 07-12-2017,log.ATP.linked.Resp,1.1541901909103043
2B_1x-DB2 | 17-01-2018,log.ATP.linked.Resp,1.0187317573920698
2B_1y-DB2 | 17-01-2018,log.ATP.linked.Resp,1.0395825048050917
2B_3x-DB2 | 20-Feb-18 ,log.ATP.linked.Resp,1.057376033260725
2B_3y-DB2 | 20-Feb-18 ,log.ATP.linked.Resp,1.0539748081392815
2B_4x-DB2 | 15-03-2018,log.ATP.linked.Resp,0.954801491294782
2B_4y-DB2 | 15-03-2018,log.ATP.linked.Resp,0.8090447559036984
3B_1x-DB2 | 31-01-2018,log.ATP.linked.Resp,1.0330990187464169
3B_1y-DB2 | 31-01-2018,log.ATP.linked.Resp,1.0723288845306849
3B_2x-DB2 | 23-Feb-18 ,log.ATP.linked.Resp,0.9354726558362794
3B_2y-DB2 | 23-Feb-18 ,log.ATP.linked.Resp,0.9460524543952151
3B_3x-DB2 | 07-03-2018,log.ATP.linked.Resp,1.0025325677717891
3B_3y-DB2 | 07-03-2018,log.ATP.linked.Resp,0.9240365885837303
3B_4x-DB2 | 28-03-2018,log.ATP.linked.Resp,1.0792926721143683
3B_4y-DB2 | 28-03-2018,log.ATP.linked.Resp,0.9931708755192687
4A_1x-DB2 | 09-01-2018,log.ATP.linked.Resp,0.9805724703979188
4A_1y-DB2 | 09-01-2018,log.ATP.linked.Resp,1.0451700104591186
4A_3x-DB2 | 13-02-2018,log.ATP.linked.Resp,1.0849330264096402
4A_3y-DB2 | 13-02-2018,log.ATP.linked.Resp,1.060629309627192
4A_4x-DB2 | 09-03-2018,log.ATP.linked.Resp,1.0809274083319247
4A_4y-DB2 | 09-03-2018,log.ATP.linked.Resp,1.0648115119599129
5A_1-DB2 | 27-03-2018,log.ATP.linked.Resp,1.0373408436508567
5A_2x-DB2 | 23-04-2018,log.ATP.linked.Resp,1.133645710896487
5A_2y-DB2 | 23-04-2018,log.ATP.linked.Resp,0.9681850249270507
5A_3-DB2 | 02-05-2018,log.ATP.linked.Resp,0.6192729654963887
5A_4x-DB2 | 25-05-2018,log.ATP.linked.Resp,1.0125741983232857
5A_4y-DB2 | 25-05-2018,log.ATP.linked.Resp,1.011801146141547
6G_1-DB2 | 27-03-2018,log.ATP.linked.Resp,0.98951651921662
6G_2x-DB2 | 19-04-2018,log.ATP.linked.Resp,0.9802958948446778
6G_2y-DB2 | 19-04-2018,log.ATP.linked.Resp,0.9826495388151861
6G_3-DB2 | 02-05-2018,log.ATP.linked.Resp,0.6757276276121154
6G_4x-DB2 | 24-05-2018,log.ATP.linked.Resp,1.0694413186853806
6G_4y-DB2 | 24-05-2018,log.ATP.linked.Resp,1.0916818792078669
7A_2x-DB2 | 17-08-2018,log.ATP.linked.Resp,1.0761875354818837
7A_2y-DB2 | 17-08-2018,log.ATP.linked.Resp,1.0552525160413286
