Sample,variable,value
1A_2x-DB2 | 03-11-2017,log.Non.Mito.Resp,2.1779642988735173
1A_2y-DB2 | 03-11-2017,log.Non.Mito.Resp,2.149695464750885
1A_3x-DB2 | 14-11-2017,log.Non.Mito.Resp,2.6542262737091824
1A_3y-DB2 | 14-11-2017,log.Non.Mito.Resp,2.706250939793768
1A_4x-DB2 | 07-12-2017,log.Non.Mito.Resp,2.294181631192335
1A_4y-DB2 | 07-12-2017,log.Non.Mito.Resp,2.3028989762698604
2B_1x-DB2 | 17-01-2018,log.Non.Mito.Resp,2.610470833230482
2B_1y-DB2 | 17-01-2018,log.Non.Mito.Resp,2.634134972739014
2B_3x-DB2 | 20-Feb-18 ,log.Non.Mito.Resp,2.326614069153887
2B_3y-DB2 | 20-Feb-18 ,log.Non.Mito.Resp,2.4359734704817186
2B_4x-DB2 | 15-03-2018,log.Non.Mito.Resp,1.880104728252507
2B_4y-DB2 | 15-03-2018,log.Non.Mito.Resp,1.9925958207084027
3B_1x-DB2 | 31-01-2018,log.Non.Mito.Resp,2.763474617375721
3B_1y-DB2 | 31-01-2018,log.Non.Mito.Resp,3.6377958048829093
3B_2x-DB2 | 23-Feb-18 ,log.Non.Mito.Resp,2.7654121529770466
3B_2y-DB2 | 23-Feb-18 ,log.Non.Mito.Resp,2.6333636064428414
3B_3x-DB2 | 07-03-2018,log.Non.Mito.Resp,2.5893151661802745
3B_3y-DB2 | 07-03-2018,log.Non.Mito.Resp,2.639311082213851
3B_4x-DB2 | 28-03-2018,log.Non.Mito.Resp,2.49647092432538
3B_4y-DB2 | 28-03-2018,log.Non.Mito.Resp,2.696959335329514
4A_1x-DB2 | 09-01-2018,log.Non.Mito.Resp,2.2368973631548013
4A_1y-DB2 | 09-01-2018,log.Non.Mito.Resp,2.2589109844795887
4A_3x-DB2 | 13-02-2018,log.Non.Mito.Resp,2.4177459519709457
4A_3y-DB2 | 13-02-2018,log.Non.Mito.Resp,2.507240810387091
4A_4x-DB2 | 09-03-2018,log.Non.Mito.Resp,2.5307508106785717
4A_4y-DB2 | 09-03-2018,log.Non.Mito.Resp,2.6757577615916723
5A_1-DB2 | 27-03-2018,log.Non.Mito.Resp,2.719584295093692
5A_2x-DB2 | 23-04-2018,log.Non.Mito.Resp,2.714868591101363
5A_2y-DB2 | 23-04-2018,log.Non.Mito.Resp,2.907887097367418
5A_3-DB2 | 02-05-2018,log.Non.Mito.Resp,2.8222579514381625
5A_4x-DB2 | 25-05-2018,log.Non.Mito.Resp,2.844454198684435
5A_4y-DB2 | 25-05-2018,log.Non.Mito.Resp,2.7638349480945283
6G_1-DB2 | 27-03-2018,log.Non.Mito.Resp,2.6945696418633105
6G_2x-DB2 | 19-04-2018,log.Non.Mito.Resp,2.934926581182946
6G_2y-DB2 | 19-04-2018,log.Non.Mito.Resp,2.995944652960403
6G_3-DB2 | 02-05-2018,log.Non.Mito.Resp,2.779546318651503
6G_4x-DB2 | 24-05-2018,log.Non.Mito.Resp,2.744939098025137
6G_4y-DB2 | 24-05-2018,log.Non.Mito.Resp,2.6885545405876705
7A_2x-DB2 | 17-08-2018,log.Non.Mito.Resp,2.241877148166527
7A_2y-DB2 | 17-08-2018,log.Non.Mito.Resp,2.1135418962044965
7A_3x-DB2 | 29-08-2018,log.Non.Mito.Resp,2.6712516679403677
7A_3y-DB2 | 29-08-2018,log.Non.Mito.Resp,2.6583906981507934
7A_4x-DB2 | 21-09-2018,log.Non.Mito.Resp,2.867281460754514
7A_4y-DB2 | 21-09-2018,log.Non.Mito.Resp,2.857801422481735
9A_1x-DB2 | 02-07-2018,log.Non.Mito.Resp,2.503289229419413
9A_1y-DB2 | 02-07-2018,log.Non.Mito.Resp,2.3039735586784316
9A_3x-DB2 | 23-Aug-18 ,log.Non.Mito.Resp,2.510670242397926
9A_3y-DB2 | 23-Aug-18 ,log.Non.Mito.Resp,2.6150770419612055
9A_4x-DB2 | 17-Sep-18 ,log.Non.Mito.Resp,2.1446435212501425
