Sample,Basal.Resp,ATP.linked.Resp,Proton.Leak,Spare.Resp.Cpcty,Maximal.Resp,Non.Mito.Resp
10A_1x-DB2 | 16-Oct-18 ,34.86731349370255,31.61211964466412,3.2551938490384273,68.99981676841512,103.86713026211767,11.905459297922505
10A_1y-DB2 | 16-Oct-18 ,33.117158984599456,31.175600538939364,1.9415584456600907,63.004889405311815,96.12204838991127,13.072868483020915
10A_2x-DB2 | 08-Nov-18 ,36.92525292349133,34.68156349726284,2.243689426228485,76.41032449826622,113.33557742175755,13.591725409240805
10A_2y-DB2 | 08-Nov-18 ,36.68598007009643,33.470654215529166,3.215325854567258,74.06576156359259,110.75174163368902,14.001892905568788
10A_3x-DB2 | 20-Nov-18 ,37.03608501778116,34.88317480154615,2.1529102162350178,77.27396030270066,114.31004532048182,12.794469546300277
10A_3y-DB2 | 20-Nov-18 ,34.19306655069828,33.32426059224779,0.8688059584504941,77.8451283873065,112.03819493800479,14.583052670291712
10A_4x-DB2 | 14-Dec-18 ,61.85579544032208,57.22669801969738,4.629097420624699,86.11697335795337,147.97276879827544,21.444504419380525
10A_4y-DB2 | 14-Dec-18 ,60.53236721410527,54.49648330885005,6.0358839052552185,86.54226096939468,147.07462818349995,20.153211635096206
11B_1x-DB2 | 20-Dec-18 ,36.816648992037855,34.21801314397576,2.598635848062097,87.39551378200227,124.21216277404014,12.047899521968509
11B_1y-DB2 | 20-Dec-18 ,34.776334685589106,34.34148425424319,0.4348504313459163,85.61681424853853,120.39314893412764,14.145114048276936
11B_3x-DB2 | 23-01-2019,29.4655369591667,30.105440144513302,-0.6399031853466006,66.43654270457722,95.90207966374392,13.78954732731256
11B_3y-DB2 | 23-01-2019,28.851898637018863,28.905305804039365,-0.053407167020504076,50.44986092763705,79.30175956465591,13.12492429287717
11B_4x-DB2 | 18-Feb-19 ,31.31904823590029,27.16785936282743,4.151188873072865,75.77019565223961,107.0892438881399,11.156762258425799
11B_4y-DB2 | 18-Feb-19 ,30.492456982103455,28.371086231784183,2.1213707503192722,72.63896770392672,103.13142468603019,12.686889145476535
1A_1x-DB2 | 09-10-2017,26.337533969103262,24.581092001279295,1.756441967823969,44.26496469538077,70.60249866448403,13.116978458194735
1A_1y-DB2 | 09-10-2017,25.18421963536128,24.385599079733076,0.7986205556282062,50.35804249019195,75.54226212555324,13.68861415629515
1A_2x-DB2 | 03-11-2017,27.233528438537483,24.498180548042328,2.735347890495154,46.30887670853353,73.54240514707101,8.828380179673468
1A_2y-DB2 | 03-11-2017,11.538277565252578,9.265399148649536,2.2728784166030422,42.39977554704123,53.93805311229381,8.582244403234142
1A_3x-DB2 | 14-11-2017,32.539686109495534,31.565407694130602,0.9742784153649335,59.28907632179113,91.82876243128666,14.21398407044279
1A_3y-DB2 | 14-11-2017,29.087631015048864,27.681218866001075,1.4064121490477888,54.17344226044568,83.26107327549454,14.973277543949614
1A_4x-DB2 | 07-12-2017,30.206210362746468,28.758930529923596,1.447279832822872,61.88764777294169,92.09385813568815,9.916319254925249
1A_4y-DB2 | 07-12-2017,29.578845912012948,27.10129779485095,2.477548117161998,65.10629699330038,94.68514290531333,10.003140415743918
2B_1x-DB2 | 17-01-2018,26.51007271819975,25.63177839485208,0.878294323347669,44.78682482635705,71.2968975445568,13.605565274637287
2B_1y-DB2 | 17-01-2018,25.66387280357391,25.594300459611887,0.06957234396202416,39.5772003464506,65.24107315002452,13.93135877125295
2B_3x-DB2 | 20-Feb-18 ,24.292077524347754,22.538891233187087,1.7531862911606666,32.95762556399314,57.249703088340894,10.243199983206068
2B_3y-DB2 | 20-Feb-18 ,23.1740534943201,22.54083893638876,0.6332145579313373,35.107422582969946,58.281476077290044,11.426937086735172
2B_4x-DB2 | 15-03-2018,16.279131721741177,14.044947806335111,2.2341839154060645,24.943825120477108,41.22295684221828,6.55419123524386
2B_4y-DB2 | 15-03-2018,15.664364480932177,12.758094649779682,2.9062698311524944,20.11003417222452,35.774398653156695,7.334934060946443
3B_1x-DB2 | 31-01-2018,18.727407427649155,22.274830945436882,-3.5474235177877294,48.6907211868811,67.41812861453025,15.856498976505629
3B_1y-DB2 | 31-01-2018,-10.08014602801427,22.700566713653807,-32.780712741668076,45.60526208083189,35.52511605281762,44.59093799499139
3B_2x-DB2 | 23-Feb-18 ,27.078777224779444,26.105107039074305,0.9736701857051369,59.74652104410678,86.82529826888621,15.885585933090761
3B_2y-DB2 | 23-Feb-18 ,27.98435440978365,25.63443527023658,2.349919139547069,44.17113474813122,72.15548915791487,13.920514374892434
3B_3x-DB2 | 07-03-2018,31.205891448054373,28.187635067466907,3.0182563805874647,67.2763004210322,98.48219186908658,13.320746074957144
3B_3y-DB2 | 07-03-2018,28.78179158855683,25.803259075130008,2.9785325134268206,62.47810790060544,91.25989948916227,14.00355424216717
3B_4x-DB2 | 28-03-2018,35.148669999836066,31.222562153194293,3.9261078466417736,71.91885385074687,107.06752385058294,12.146475439474564
3B_4y-DB2 | 28-03-2018,32.964084582808766,30.094038878111864,2.8700457046969063,67.27389644961289,100.23798103242166,14.834659534319943
4A_1x-DB2 | 09-01-2018,15.118479095244755,15.300137823654826,-0.18165872841007058,39.49227127010089,54.61075036534565,9.365507590992149
4A_1y-DB2 | 09-01-2018,14.970084917961136,15.912733589601963,-0.9426486716408267,37.081149145995326,52.051234063956464,9.572658714421367
4A_3x-DB2 | 13-02-2018,26.41137014017606,24.91512846490214,1.4962416752739252,48.55456514290468,74.96593528308074,11.22053915500676
4A_3y-DB2 | 13-02-2018,25.222419962693603,24.511774978025144,0.710644984668459,43.4055442727597,68.6279642354533,12.2710252217495
4A_4x-DB2 | 09-03-2018,31.478441639600625,29.098986303015717,2.3794553365849076,63.38280507483137,94.86124671443199,12.562934982325224
4A_4y-DB2 | 09-03-2018,29.737319902527872,28.99987842375016,0.7374414787777113,71.5192412718203,101.25656117434818,14.523350908471599
5A_1-DB2 | 27-03-2018,30.30783668663903,29.3627933342988,0.9450433523402282,77.02383171540492,107.33166840204396,15.174018165748585
5A_2x-DB2 | 23-04-2018,38.41743678621117,36.294038666623265,2.1233981195879004,72.89916298768235,111.31659977389351,15.10262532213126
5A_2y-DB2 | 23-04-2018,37.07201612438928,34.35453557857781,2.717480545811469,75.33091958875158,112.40293571314086,18.318128078971768
5A_3-DB2 | 02-05-2018,32.36329440031781,22.703759674391357,9.659534725926452,-1.1008134294526073,31.2624809708652,16.81477478553354
5A_4x-DB2 | 25-05-2018,39.249744992969,35.937550800575394,3.312194192393605,76.29780159021419,115.54754658318319,17.192172597272307
5A_4y-DB2 | 25-05-2018,37.996608358921435,34.276879383211195,3.719728975710236,74.10970353830155,112.10631189722298,15.860894994008579
6G_1-DB2 | 27-03-2018,34.84173311566053,31.186537105002834,3.6551960106577006,74.24412424044915,109.08585735610968,14.799152331848145
6G_2x-DB2 | 19-04-2018,44.084388321643104,39.30295405551991,4.781434266123192,82.17864043743037,126.26302875907348,18.82047402977409
6G_2y-DB2 | 19-04-2018,42.56611403689601,39.149155322652106,3.416958714243904,85.25240642803621,127.81852046493222,20.004248039210296
6G_3-DB2 | 02-05-2018,30.56134297548692,22.926453209298387,7.634889766188532,-3.503949976562261,27.05739299892466,16.11170970747953
6G_4x-DB2 | 24-05-2018,37.14465939195815,34.61888505762123,2.5257743343369228,63.96208202849233,101.10674142045048,15.563669128634238
6G_4y-DB2 | 24-05-2018,36.75757291285183,34.19265412350396,2.564918789347864,65.45214013601444,102.20971304886626,14.71040159505981
7A_2x-DB2 | 17-08-2018,21.828865070478443,20.591403477292594,1.2374615931858504,34.83820715592508,56.667072226403526,9.412487367046074
7A_2y-DB2 | 17-08-2018,22.51132662961885,20.07033335753205,2.4409932720868035,40.41320899067234,62.92453562029119,8.277507497475105
7A_3x-DB2 | 29-08-2018,32.904488361628616,31.30804914396151,1.596439217667104,67.09952349267562,100.00401185430422,14.458056197659864
7A_3y-DB2 | 29-08-2018,32.19853148421563,29.47388915180281,2.7246423324128184,55.169256888462655,87.36778837267828,14.273305444846523
7A_4x-DB2 | 21-09-2018,31.426899939749248,29.5621245621187,1.8647753776305471,76.01062913949775,107.437529079247,17.589159104359453
7A_4y-DB2 | 21-09-2018,33.11278562745372,29.801229287405356,3.3115563400483623,61.24474110424603,94.35752673169975,17.42331265377483
9A_1x-DB2 | 02-07-2018,15.888678473427063,14.577186354293953,1.31149211913311,20.336975556987777,36.225654030414844,12.222630951940094
9A_1y-DB2 | 02-07-2018,16.46789567567663,15.053644779904534,1.4142508957720956,19.751444095577785,36.21933977125441,10.013894631493098
9A_3x-DB2 | 23-Aug-18 ,35.38479435421084,30.799827476601486,4.584966877609357,60.46391558211103,95.84870993632187,12.313180110798381
9A_3y-DB2 | 23-Aug-18 ,33.98771426799876,29.179702542701452,4.808011725297309,60.14628293750016,94.13399720549893,13.66828648533619
9A_4x-DB2 | 17-Sep-18 ,19.903180046454153,19.07795694731322,0.8252230991409331,46.32776524889489,66.23094529534904,8.538996723797014
