Sample,variable,value
1A_3x-DB2 | 14-11-2017,Max.Glyco.Cpcty,31.39983977816619
1A_3y-DB2 | 14-11-2017,Max.Glyco.Cpcty,31.406291479188678
1A_4x-DB2 | 07-12-2017,Max.Glyco.Cpcty,28.121510552569266
1A_4y-DB2 | 07-12-2017,Max.Glyco.Cpcty,27.554990728568033
2B_1x-DB2 | 17-01-2018,Max.Glyco.Cpcty,20.49570329465383
2B_1y-DB2 | 17-01-2018,Max.Glyco.Cpcty,21.24565839432943
2B_3x-DB2 | 20-Feb-18 ,Max.Glyco.Cpcty,15.779681664900362
2B_3y-DB2 | 20-Feb-18 ,Max.Glyco.Cpcty,15.520890693117224
2B_4x-DB2 | 15-03-2018,Max.Glyco.Cpcty,19.058069769377173
2B_4y-DB2 | 15-03-2018,Max.Glyco.Cpcty,18.086516981963147
3B_1x-DB2 | 31-01-2018,Max.Glyco.Cpcty,18.899937316031178
3B_1y-DB2 | 31-01-2018,Max.Glyco.Cpcty,19.432955132118707
3B_2x-DB2 | 23-Feb-18 ,Max.Glyco.Cpcty,28.299503636487366
3B_2y-DB2 | 23-Feb-18 ,Max.Glyco.Cpcty,29.105520113980614
3B_3x-DB2 | 07-03-2018,Max.Glyco.Cpcty,29.515656847599807
3B_3y-DB2 | 07-03-2018,Max.Glyco.Cpcty,29.73933530384846
3B_4x-DB2 | 28-03-2018,Max.Glyco.Cpcty,30.759812438718086
3B_4y-DB2 | 28-03-2018,Max.Glyco.Cpcty,29.48337008877033
4A_1x-DB2 | 09-01-2018,Max.Glyco.Cpcty,16.965348533233428
4A_1y-DB2 | 09-01-2018,Max.Glyco.Cpcty,15.709837978433482
4A_3x-DB2 | 13-02-2018,Max.Glyco.Cpcty,27.722084845744185
4A_3y-DB2 | 13-02-2018,Max.Glyco.Cpcty,27.792874801210033
4A_4x-DB2 | 09-03-2018,Max.Glyco.Cpcty,30.970062765214898
4A_4y-DB2 | 09-03-2018,Max.Glyco.Cpcty,28.840828354512606
5A_1-DB2 | 27-03-2018,Max.Glyco.Cpcty,30.337486924152966
5A_2x-DB2 | 23-04-2018,Max.Glyco.Cpcty,30.320987768484585
5A_2y-DB2 | 23-04-2018,Max.Glyco.Cpcty,31.31156188557134
5A_3-DB2 | 02-05-2018,Max.Glyco.Cpcty,18.021684307835407
5A_4x-DB2 | 25-05-2018,Max.Glyco.Cpcty,42.068042363528946
5A_4y-DB2 | 25-05-2018,Max.Glyco.Cpcty,40.915814394118364
6G_1-DB2 | 27-03-2018,Max.Glyco.Cpcty,35.59254874546181
6G_2x-DB2 | 19-04-2018,Max.Glyco.Cpcty,43.268220504204955
6G_2y-DB2 | 19-04-2018,Max.Glyco.Cpcty,40.63475771271481
6G_3-DB2 | 02-05-2018,Max.Glyco.Cpcty,22.69235921300872
6G_4x-DB2 | 24-05-2018,Max.Glyco.Cpcty,38.9402698584629
6G_4y-DB2 | 24-05-2018,Max.Glyco.Cpcty,38.034090113162506
7A_2x-DB2 | 17-08-2018,Max.Glyco.Cpcty,23.84563566262619
7A_2y-DB2 | 17-08-2018,Max.Glyco.Cpcty,24.732134758320882
7A_3x-DB2 | 29-08-2018,Max.Glyco.Cpcty,36.15858768005613
7A_3y-DB2 | 29-08-2018,Max.Glyco.Cpcty,36.56438132821927
7A_4x-DB2 | 21-09-2018,Max.Glyco.Cpcty,38.272036218485695
7A_4y-DB2 | 21-09-2018,Max.Glyco.Cpcty,38.971147166678776
9A_1x-DB2 | 02-07-2018,Max.Glyco.Cpcty,19.050594687297824
9A_1y-DB2 | 02-07-2018,Max.Glyco.Cpcty,16.97935627403875
9A_3x-DB2 | 23-Aug-18 ,Max.Glyco.Cpcty,44.944254434259676
9A_3y-DB2 | 23-Aug-18 ,Max.Glyco.Cpcty,41.05898725682949
9A_4x-DB2 | 17-Sep-18 ,Max.Glyco.Cpcty,23.55050751900318
10A_1x-DB2 | 16-Oct-18 ,Glyco.Rsrv.Cpcty,32.1234934011905
10A_1y-DB2 | 16-Oct-18 ,Glyco.Rsrv.Cpcty,30.76002033595412
10A_2x-DB2 | 08-Nov-18 ,Glyco.Rsrv.Cpcty,30.417726468757806
10A_2y-DB2 | 08-Nov-18 ,Glyco.Rsrv.Cpcty,28.86872889941933
10A_3x-DB2 | 20-Nov-18 ,Glyco.Rsrv.Cpcty,27.669504413509664
10A_3y-DB2 | 20-Nov-18 ,Glyco.Rsrv.Cpcty,26.220192255518015
10A_4x-DB2 | 14-Dec-18 ,Glyco.Rsrv.Cpcty,51.79170660165883
10A_4y-DB2 | 14-Dec-18 ,Glyco.Rsrv.Cpcty,47.78813434406118
11B_1x-DB2 | 20-Dec-18 ,Glyco.Rsrv.Cpcty,24.244910270715312
11B_1y-DB2 | 20-Dec-18 ,Glyco.Rsrv.Cpcty,25.084308019651118
11B_3x-DB2 | 23-01-2019,Glyco.Rsrv.Cpcty,18.92401659914995
11B_3y-DB2 | 23-01-2019,Glyco.Rsrv.Cpcty,20.66971812374201
11B_4x-DB2 | 18-Feb-19 ,Glyco.Rsrv.Cpcty,26.244326982934275
11B_4y-DB2 | 18-Feb-19 ,Glyco.Rsrv.Cpcty,28.563122595523076
1A_1x-DB2 | 09-10-2017,Glyco.Rsrv.Cpcty,14.184243791430308
1A_1y-DB2 | 09-10-2017,Glyco.Rsrv.Cpcty,13.577342925478682
1A_2x-DB2 | 03-11-2017,Glyco.Rsrv.Cpcty,17.107761694902457
1A_2y-DB2 | 03-11-2017,Glyco.Rsrv.Cpcty,6.597505228842728
1A_3x-DB2 | 14-11-2017,Glyco.Rsrv.Cpcty,18.43448749783522
1A_3y-DB2 | 14-11-2017,Glyco.Rsrv.Cpcty,18.275049280123984
1A_4x-DB2 | 07-12-2017,Glyco.Rsrv.Cpcty,18.64959217613059
1A_4y-DB2 | 07-12-2017,Glyco.Rsrv.Cpcty,18.29625523174696
2B_1x-DB2 | 17-01-2018,Glyco.Rsrv.Cpcty,11.684838494235585
2B_1y-DB2 | 17-01-2018,Glyco.Rsrv.Cpcty,12.265111342394967
2B_3x-DB2 | 20-Feb-18 ,Glyco.Rsrv.Cpcty,7.3182922197518785
2B_3y-DB2 | 20-Feb-18 ,Glyco.Rsrv.Cpcty,6.559490166493525
2B_4x-DB2 | 15-03-2018,Glyco.Rsrv.Cpcty,4.944758068306612
2B_4y-DB2 | 15-03-2018,Glyco.Rsrv.Cpcty,4.134923781311439
3B_1x-DB2 | 31-01-2018,Glyco.Rsrv.Cpcty,14.207569122419805
3B_1y-DB2 | 31-01-2018,Glyco.Rsrv.Cpcty,14.453618709356514
3B_2x-DB2 | 23-Feb-18 ,Glyco.Rsrv.Cpcty,18.383197857228808
3B_2y-DB2 | 23-Feb-18 ,Glyco.Rsrv.Cpcty,19.668678991505814
3B_3x-DB2 | 07-03-2018,Glyco.Rsrv.Cpcty,19.97095236061587
3B_3y-DB2 | 07-03-2018,Glyco.Rsrv.Cpcty,19.945191100398503
3B_4x-DB2 | 28-03-2018,Glyco.Rsrv.Cpcty,22.06899561653165
3B_4y-DB2 | 28-03-2018,Glyco.Rsrv.Cpcty,21.35528804923257
4A_1x-DB2 | 09-01-2018,Glyco.Rsrv.Cpcty,11.029312557799201
4A_1y-DB2 | 09-01-2018,Glyco.Rsrv.Cpcty,9.77498690930176
4A_3x-DB2 | 13-02-2018,Glyco.Rsrv.Cpcty,19.35147462300608
4A_3y-DB2 | 13-02-2018,Glyco.Rsrv.Cpcty,19.56694679696919
4A_4x-DB2 | 09-03-2018,Glyco.Rsrv.Cpcty,19.798422356435317
4A_4y-DB2 | 09-03-2018,Glyco.Rsrv.Cpcty,21.154571285379177
5A_1-DB2 | 27-03-2018,Glyco.Rsrv.Cpcty,21.593370747999785
5A_2x-DB2 | 23-04-2018,Glyco.Rsrv.Cpcty,22.102498535154258
5A_2y-DB2 | 23-04-2018,Glyco.Rsrv.Cpcty,22.103731862574328
5A_3-DB2 | 02-05-2018,Glyco.Rsrv.Cpcty,2.7343376422391614
5A_4x-DB2 | 25-05-2018,Glyco.Rsrv.Cpcty,24.627521534542026
5A_4y-DB2 | 25-05-2018,Glyco.Rsrv.Cpcty,24.41157347733136
6G_1-DB2 | 27-03-2018,Glyco.Rsrv.Cpcty,25.288675673774385
6G_2x-DB2 | 19-04-2018,Glyco.Rsrv.Cpcty,30.029706826118574
6G_2y-DB2 | 19-04-2018,Glyco.Rsrv.Cpcty,30.10173879354175
6G_3-DB2 | 02-05-2018,Glyco.Rsrv.Cpcty,7.478233186713055
6G_4x-DB2 | 24-05-2018,Glyco.Rsrv.Cpcty,27.398774372064025
6G_4y-DB2 | 24-05-2018,Glyco.Rsrv.Cpcty,26.68556902671364
