sample_id,Interval,mean,SD,SE,size,CV
10A_1x-DB2 | 16-Oct-18 ,Int1,46.77277279162505,4.0028742756713225,0.34579566983243126,134,8.558129092547752
10A_1x-DB2 | 16-Oct-18 ,Int2,15.160653146960932,1.541139883259515,0.19572496089901714,62,10.165392403086855
10A_1x-DB2 | 16-Oct-18 ,Int3,115.77258956004017,9.28371195425752,1.3399883989673815,48,8.01892053165395
10A_1x-DB2 | 16-Oct-18 ,Int4,11.905459297922505,2.68630933625757,0.3281849189797424,67,22.56367662124828
10A_1y-DB2 | 16-Oct-18 ,Int1,46.19002746762037,3.331077835888416,0.291037621826938,131,7.211681868393631
10A_1y-DB2 | 16-Oct-18 ,Int2,15.014426928681006,3.3983572122629937,0.36860359294377165,85,22.63394552722722
10A_1y-DB2 | 16-Oct-18 ,Int3,109.19491687293218,7.015598640836763,1.0126144409533695,48,6.424839948365607
10A_1y-DB2 | 16-Oct-18 ,Int4,13.072868483020915,2.1718320563171956,0.25958358083798583,70,16.61327855579652
10A_2x-DB2 | 08-Nov-18 ,Int1,50.51697833273214,4.228012493316455,0.36940316670241363,131,8.36948810649061
10A_2x-DB2 | 08-Nov-18 ,Int2,15.83541483546929,1.865174242622156,0.2261856003680168,68,11.77849940782357
10A_2x-DB2 | 08-Nov-18 ,Int3,126.92730283099836,5.759350189061623,0.8312905955030125,48,4.5375187690942305
10A_2x-DB2 | 08-Nov-18 ,Int4,13.591725409240805,2.0772573908039607,0.2431245880413365,73,15.283250126519372
10A_2y-DB2 | 08-Nov-18 ,Int1,50.687872975665215,3.3056215962444258,0.29927691735025,122,6.521523595656547
10A_2y-DB2 | 08-Nov-18 ,Int2,17.217218760136046,1.908553600282961,0.2527940998767766,57,11.085144626854241
10A_2y-DB2 | 08-Nov-18 ,Int3,124.7536345392578,7.4479646614737485,1.075021100554172,48,5.970138416392192
10A_2y-DB2 | 08-Nov-18 ,Int4,14.001892905568788,2.244426973159367,0.27217674939180603,68,16.029453933808625
