sample_id,Interval,mean,SD,SE,size,CV
D423A_72h-FLI | 20-02-2019,Int1,2.3907682475710366,0.08758935059037888,0.015483755940545707,32,3.6636487321331783
D423A_72h-FLI | 20-02-2019,Int2,2.1528257661489647,0.3195328024135819,0.075314603799395,18,14.842483188278221
D423A_72h-FLI | 20-02-2019,Int3,2.4022135469285892,0.088590519531686715,0.02032405905233624,19,3.6878702830127805
D423A_72h-FLI | 20-02-2019,Int4,1.9024496571221645,0.119654662198333,0.021490611743043325,31,6.289504784023278
